Frame ID,QR ID,QR 2D,QR 3D
273,0,"[[408, 63], [467, 59], [472, 119], [415, 123]]","[1.2481165889076749, -173.585767302724, 6.812264417094303, -5.246966404931792]"
274,0,"[[412, 31], [470, 27], [473, 86], [415, 90]]","[1.2663476351220697, -160.263047821462, 8.550999785097623, -4.9464331692478405]"
287,0,"[[228, 27], [288, 23], [294, 83], [236, 87]]","[1.1948347873222975, -153.8909198368092, 11.256778158801598, -0.04633074179211491]"
288,0,"[[122, 12], [187, 8], [195, 68], [131, 74]]","[1.1316350130140487, -179.19576521565597, -31.299097333856896, -12.055325253760364]"
308,0,"[[681, 56], [746, 55], [745, 118], [681, 117]]","[1.6810696812400956, 177.10128943950784, -17.923230360980952, 0.5073121824095822]"
316,1,"[[615, 84], [640, 88], [637, 114], [611, 112]]","[3.2789480689590347, -179.21293922172586, -7.687833679645479, 5.3710928574863]"
317,1,"[[672, 99], [698, 103], [694, 129], [669, 126]]","[3.663309141495481, 177.01772341070568, -16.442314313671293, 7.32354867352957]"
318,1,"[[702, 120], [727, 122], [724, 149], [698, 146]]","[18.127782248414707, 50.67184922527338, 74.32418141343837, 3.442136952176241]"
319,1,"[[705, 120], [732, 123], [728, 151], [702, 151]]","[3.5171916226087703, -179.7945348026436, -21.152285016945306, 2.5630205697482324]"
320,1,"[[712, 116], [740, 118], [736, 147], [708, 144]]","[3.687126094821577, 178.58864262542826, -19.699993098267147, 5.0963588776601805]"
321,1,"[[737, 115], [765, 116], [762, 145], [735, 143]]","[3.870200631012561, 178.6590962747649, -21.671085874278575, 2.9459466551927607]"
322,1,"[[752, 111], [781, 113], [778, 142], [750, 141]]","[3.841635691776989, 178.39673275543163, -22.366769303861982, 2.900903265010855]"
323,1,"[[725, 92], [752, 93], [750, 123], [721, 123]]","[3.572398151682979, 179.43547485644226, -21.932589252848008, 0.7402326101732303]"
324,1,"[[688, 106], [714, 107], [712, 136], [684, 136]]","[3.433774081326204, -179.17299702282833, -19.412466115180035, 0.5757839443423418]"
325,1,"[[658, 88], [686, 90], [684, 121], [656, 119]]","[3.0956470471328417, 178.29124783499134, -16.895735782164056, 2.9133076871906023]"
326,1,"[[657, 92], [686, 94], [683, 124], [654, 123]]","[3.151087237420387, 179.86735144079458, -15.204412247342741, 2.358961138011142]"
327,1,"[[669, 80], [699, 82], [696, 114], [667, 113]]","[3.036623187084245, 178.78253378926573, -18.155573064750723, 1.9231413431982656]"
328,1,"[[663, 75], [694, 77], [691, 109], [661, 108]]","[3.010625810285298, 178.5950777874107, -16.757196216546447, 2.100652936799234]"
329,1,"[[643, 73], [674, 76], [671, 109], [640, 107]]","[2.808204028962421, 178.60143322166414, -14.49786861057051, 3.4822415011016488]"
330,1,"[[664, 73], [696, 76], [693, 108], [661, 107]]","[2.9656774598888274, 177.96382623728417, -16.052870210354808, 3.279649971815629]"
331,1,"[[676, 75], [709, 78], [704, 113], [673, 111]]","[2.8249838538844094, 178.3587578420137, -18.98209617378567, 3.4006755997206146]"
332,1,"[[674, 83], [707, 85], [704, 121], [671, 119]]","[2.7657116702954183, 178.40304199087836, -18.470340453163278, 2.6852812275925095]"
333,1,"[[663, 73], [697, 75], [695, 112], [660, 110]]","[2.644854536752063, 177.83830083811617, -17.118573289586564, 2.624990088448858]"
334,1,"[[648, 99], [684, 100], [682, 139], [647, 138]]","[2.4327902603619123, 179.87157468796124, -15.713295704601869, 0.6741297855410002]"
335,1,"[[676, 98], [714, 99], [712, 137], [674, 137]]","[2.598934653825409, 179.6360707315689, -17.135735845916233, 0.5432073971670658]"
336,1,"[[676, 98], [714, 99], [712, 137], [674, 137]]","[2.598934653825409, 179.6360707315689, -17.135735845916233, 0.5432073971670658]"
337,1,"[[703, 120], [742, 124], [739, 165], [700, 163]]","[2.480073237749835, 178.45387447018726, -20.761977913765918, 3.9445560853054005]"
338,1,"[[713, 117], [755, 120], [752, 163], [710, 161]]","[2.4493343786618214, 178.6873241004185, -20.738327304774653, 3.205086239387612]"
339,1,"[[732, 109], [777, 111], [773, 157], [730, 155]]","[2.4095403343224824, 178.80521298236437, -22.001251391487294, 2.3111407986433896]"
340,1,"[[732, 122], [777, 124], [774, 171], [730, 169]]","[2.3546366340983593, 179.18838787635627, -22.210576976255826, 2.2448126700995346]"
341,1,"[[759, 103], [807, 104], [805, 156], [757, 155]]","[2.2446104406173335, 178.95968925844954, -23.689876077248325, 0.9017959144432006]"
342,1,"[[769, 123], [820, 125], [819, 175], [768, 176]]","[2.3045604167327953, 179.83402874104124, -23.070933651952068, 0.3595642022655473]"
343,1,"[[806, 102], [862, 102], [862, 160], [806, 160]]","[2.1910832078706726, 179.06654333317798, -24.312248339827104, -0.1391506053224252]"
344,1,"[[848, 125], [907, 127], [907, 189], [847, 187]]","[2.18913044705975, 179.01090124947993, -24.97729494521273, 1.8254597911930441]"
364,3,"[[487, 122], [503, 123], [502, 139], [486, 139]]","[4.608979129535749, -166.2474726500459, 11.837761335030054, 1.027307032879657]"
365,3,"[[492, 123], [509, 124], [508, 140], [492, 139]]","[4.666028455290316, -158.04984587731894, 31.754694821297335, 4.75049632340567]"
368,3,"[[503, 158], [521, 159], [521, 177], [503, 179]]","[3.9829135061087158, -176.40924336673723, 7.544156278936058, -1.6903651624756697]"
369,3,"[[486, 153], [504, 152], [505, 170], [487, 173]]","[3.993388470977703, -172.29807040849693, 8.39891459278442, -6.3096202196758515]"
370,3,"[[495, 170], [513, 170], [512, 189], [496, 189]]","[4.111334844723175, 178.8412212652473, 4.524808188432776, 0.1271708658822591]"
372,3,"[[542, 145], [561, 146], [559, 166], [541, 165]]","[4.001156295661136, -173.45331889552435, 9.429541344266198, 2.2293753484535244]"
373,3,"[[544, 159], [564, 161], [563, 180], [544, 180]]","[4.027620210290422, 179.30966306879603, 15.616663791878189, 2.2434004816941204]"
374,3,"[[547, 169], [567, 168], [567, 190], [548, 191]]","[3.679874538812346, -178.76636500541096, 4.865502018000263, -2.6566134309634974]"
376,3,"[[527, 150], [549, 151], [548, 173], [528, 173]]","[3.539796160417761, 179.8276124725607, 11.569975386559614, 0.6643297565860155]"
377,3,"[[504, 133], [526, 132], [527, 155], [506, 156]]","[3.405001278358776, -179.66243087850975, 11.563124225104346, -3.2804447714874176]"
378,3,"[[512, 165], [535, 164], [536, 188], [514, 190]]","[3.2177382405252173, 178.40142602987498, 9.128406688155701, -3.725425070397831]"
379,3,"[[523, 176], [547, 175], [548, 197], [525, 200]]","[3.3627783268326894, -173.5029347651702, 22.874339057376744, -6.579826439067652]"
380,3,"[[542, 135], [567, 135], [566, 159], [542, 159]]","[3.324827740774619, -169.8900013499489, 22.46871098215487, -0.5540765873229245]"
381,3,"[[560, 151], [585, 151], [585, 177], [561, 177]]","[3.166960608905173, 179.8627946437239, 8.379649293862064, -0.6326246200337823]"
382,3,"[[562, 155], [587, 154], [588, 181], [563, 182]]","[3.0541176356763824, -179.3345080678683, 6.225384757989423, -2.620424955630951]"
383,3,"[[554, 162], [580, 161], [580, 187], [554, 188]]","[3.111037660757805, -174.2810363117387, 14.983724881940226, -2.982509552187837]"
385,3,"[[551, 148], [578, 148], [577, 177], [551, 177]]","[2.807308328098146, -176.60073275482452, 6.848628031948216, -0.5565802699301677]"
386,3,"[[552, 140], [580, 140], [580, 169], [553, 170]]","[2.7646631780690822, -177.7712023599647, 8.332292492132645, -1.6980586478319508]"
387,3,"[[562, 135], [591, 134], [592, 164], [563, 166]]","[2.6992476312412896, -176.63472049403418, 7.742037210005342, -3.5686414713336654]"
388,3,"[[573, 149], [603, 147], [605, 177], [575, 180]]","[2.731206039267042, -177.5926661109074, 7.231535267626961, -5.394764508336252]"
389,3,"[[604, 117], [635, 117], [635, 149], [604, 150]]","[2.691907362725306, -177.93261053337724, -4.350834491437142, -1.7128149113290003]"
390,3,"[[629, 126], [662, 126], [664, 160], [630, 160]]","[2.6826930221886247, 178.82453712331315, -9.393808653260692, -0.5903322128087374]"
391,3,"[[665, 144], [699, 142], [700, 178], [666, 179]]","[2.7414792884374166, -178.15131752777665, -16.27456688209841, -3.033546108512029]"
392,3,"[[675, 140], [711, 137], [711, 175], [676, 176]]","[2.681383686317294, -177.37280451638668, -17.47994584825011, -3.773499861103382]"
