Frame ID,QR ID,QR 2D,QR 3D
0,15,"[[322, 96], [391, 97], [393, 170], [324, 170]]","[2.170654213014391, -173.94349544117534, 6.08000906881139, 1.854254716488056]"
1,15,"[[322, 96], [391, 98], [393, 170], [324, 170]]","[2.18970390387174, -173.49151155018507, 5.00145049317866, 1.9340745894047655]"
2,15,"[[322, 96], [391, 98], [393, 170], [324, 170]]","[2.18970390387174, -173.49151155018507, 5.00145049317866, 1.9340745894047655]"
3,15,"[[322, 96], [391, 98], [393, 170], [324, 170]]","[2.18970390387174, -173.49151155018507, 5.00145049317866, 1.9340745894047655]"
4,15,"[[322, 96], [391, 98], [393, 170], [324, 170]]","[2.18970390387174, -173.49151155018507, 5.00145049317866, 1.9340745894047655]"
5,15,"[[425, 85], [495, 81], [499, 151], [430, 156]]","[2.1374080140290985, -178.41424218885115, 2.6307286397691523, -3.0071261238216422]"
6,15,"[[414, 113], [482, 108], [487, 177], [420, 182]]","[2.1795221479680893, -176.86943838834878, 3.1295776505876467, -3.4492421516890355]"
7,15,"[[386, 110], [454, 104], [462, 171], [394, 179]]","[2.2136768085826226, -178.78405891431123, -0.08312584450578056, -6.148234150541773]"
8,15,"[[383, 121], [450, 113], [459, 182], [391, 189]]","[2.2000557989174165, -177.57911382983653, 2.2344415821571113, -5.98380890405482]"
9,15,"[[363, 112], [431, 104], [440, 173], [372, 180]]","[2.2243018253890146, -177.56501654112964, 1.0351062614300413, -6.3434478087288015]"
10,15,"[[362, 123], [430, 115], [438, 183], [371, 191]]","[2.2198828443834286, -178.77397946662938, 1.905936682296395, -6.435433511241261]"
11,15,"[[358, 118], [426, 110], [435, 179], [368, 187]]","[2.2191561993873328, -176.29566419916284, 2.45446933748208, -6.2725935326605065]"
12,15,"[[357, 117], [425, 110], [434, 177], [366, 186]]","[2.2290744221880456, -178.95491788636835, 0.29958994125411764, -6.916414356851408]"
13,15,"[[358, 117], [427, 109], [435, 177], [368, 185]]","[2.2287424585899833, -178.4943798527946, 0.626348867178798, -6.789900105015174]"
14,15,"[[358, 117], [426, 110], [435, 178], [367, 186]]","[2.2263993358822582, -177.5845864218464, 0.6753901775207032, -6.406505600975416]"
15,15,"[[356, 118], [424, 111], [433, 179], [365, 187]]","[2.227308248627516, -177.59563534841013, 0.7070060512523484, -6.399226060428425]"
16,15,"[[354, 120], [421, 113], [430, 182], [363, 190]]","[2.2152947866152757, -175.68081314571845, 3.9673769270718533, -5.437086702049834]"
17,15,"[[354, 123], [422, 115], [431, 184], [363, 191]]","[2.223009155063129, -177.5119348586498, 1.1673865820569755, -6.300553619012471]"
18,15,"[[357, 128], [424, 120], [434, 189], [366, 196]]","[2.227287139971172, -176.2337923666114, 1.509669110160648, -6.272085738729773]"
19,15,"[[358, 129], [425, 121], [434, 190], [367, 197]]","[2.225635898751814, -176.32463949520854, 2.79226690839406, -5.86319876427758]"
20,15,"[[362, 132], [430, 124], [439, 192], [372, 200]]","[2.226057689880745, -177.03823895792632, 0.7997982838876596, -6.781376522707049]"
21,15,"[[362, 130], [430, 123], [438, 191], [372, 199]]","[2.2258686274619324, -175.81000217563636, 2.252723231361642, -5.891262503502447]"
22,15,"[[363, 130], [431, 123], [439, 191], [372, 198]]","[2.2305455945995933, -177.02625610919648, 0.795682776091686, -5.9425345244865415]"
23,15,"[[364, 130], [431, 122], [440, 190], [373, 198]]","[2.224403179304425, -177.55926212680754, 2.180744176477227, -6.4342718554327325]"
24,15,"[[364, 130], [432, 122], [440, 190], [374, 198]]","[2.2265328156609105, -177.12005166203147, 2.112043488083481, -6.374738668134775]"
25,15,"[[365, 132], [433, 124], [441, 192], [374, 199]]","[2.2281363348742875, -178.38325484475098, 0.7385951208735427, -6.399177401073132]"
26,15,"[[365, 133], [433, 126], [441, 193], [374, 201]]","[2.22948361682951, -178.40575917428808, 0.2770024984516692, -6.479777467340115]"
27,15,"[[365, 133], [433, 126], [441, 193], [373, 200]]","[2.2307818014778915, -179.88236953888295, -1.0277339856432743, -6.480373754507834]"
28,15,"[[368, 135], [436, 129], [443, 197], [376, 203]]","[2.2258156728722867, -176.84000671456178, 0.7443865397852371, -5.093231192394955]"
